"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","1472395","test_smoke","tests.integration","2026-01-25","broken","2026-01-25","","test_bundle","",""
"Install necessary binaries.","6810","test_snap_install","tests.integration","2026-01-25","passed","2026-01-25","","test_terraform","",""
"Deploy terraform module with app.","124094","test_terraform","tests.integration","2026-01-25","passed","2026-01-25","","test_terraform","",""
