"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","110029","test_terraform","tests.integration","2025-10-29","passed","2025-10-29","","test_terraform","",""
"Install necessary binaries.","13052","test_snap_install","tests.integration","2025-10-29","passed","2025-10-29","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","341087","test_smoke","tests.integration","2025-10-29","passed","2025-10-29","","test_bundle","",""
