"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","129302","test_terraform","tests.integration","2025-10-31","passed","2025-10-31","","test_terraform","",""
"Install necessary binaries.","13132","test_snap_install","tests.integration","2025-10-31","passed","2025-10-31","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1469604","test_smoke","tests.integration","2025-10-31","broken","2025-10-31","","test_bundle","",""
