"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","303209","test_smoke","tests.integration","2026-01-28","passed","2026-01-28","","test_bundle","",""
"Install necessary binaries.","4812","test_snap_install","tests.integration","2026-01-28","passed","2026-01-28","","test_terraform","",""
"Deploy terraform module with app.","114448","test_terraform","tests.integration","2026-01-28","passed","2026-01-28","","test_terraform","",""
