"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","1462243","test_smoke","tests.integration","2026-01-02","broken","2026-01-02","","test_bundle","",""
"Deploy terraform module with app.","128881","test_terraform","tests.integration","2026-01-02","passed","2026-01-02","","test_terraform","",""
"Install necessary binaries.","4767","test_snap_install","tests.integration","2026-01-02","passed","2026-01-02","","test_terraform","",""
