"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","127275","test_terraform","tests.integration","2026-02-15","passed","2026-02-15","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1473150","test_smoke","tests.integration","2026-02-15","broken","2026-02-15","","test_bundle","",""
"Install necessary binaries.","4950","test_snap_install","tests.integration","2026-02-15","passed","2026-02-15","","test_terraform","",""
