"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","353583","test_smoke","tests.integration","2026-02-24","passed","2026-02-24","","test_bundle","",""
"Install necessary binaries.","6298","test_snap_install","tests.integration","2026-02-24","passed","2026-02-24","","test_terraform","",""
"Deploy terraform module with app.","114463","test_terraform","tests.integration","2026-02-24","passed","2026-02-24","","test_terraform","",""
