"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","8391","test_snap_install","tests.integration","2026-03-17","passed","2026-03-17","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1489263","test_smoke","tests.integration","2026-03-17","broken","2026-03-17","","test_bundle","",""
"Deploy terraform module with app.","119882","test_terraform","tests.integration","2026-03-17","passed","2026-03-17","","test_terraform","",""
