"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","1516306","test_smoke","tests.integration","2026-05-13","broken","2026-05-13","","test_bundle","",""
"Deploy terraform module with app.","9039","test_terraform","tests.integration","2026-05-13","broken","2026-05-13","","test_terraform","",""
"Install necessary binaries.","8449","test_snap_install","tests.integration","2026-05-13","passed","2026-05-13","","test_terraform","",""
