"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","1460742","test_smoke","tests.integration","2026-05-25","broken","2026-05-25","","test_bundle","",""
"Deploy terraform module with app.","8070","test_terraform","tests.integration","2026-05-25","broken","2026-05-25","","test_terraform","",""
"Install necessary binaries.","6622","test_snap_install","tests.integration","2026-05-25","passed","2026-05-25","","test_terraform","",""
