"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","134853","test_terraform","tests.integration","2026-01-01","passed","2026-01-01","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1483521","test_smoke","tests.integration","2026-01-01","broken","2026-01-01","","test_bundle","",""
"Install necessary binaries.","7513","test_snap_install","tests.integration","2026-01-01","passed","2026-01-01","","test_terraform","",""
