"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","312438","test_smoke","tests.integration","2025-12-25","passed","2025-12-25","","test_bundle","",""
"Install necessary binaries.","5462","test_snap_install","tests.integration","2025-12-25","passed","2025-12-25","","test_terraform","",""
"Deploy terraform module with app.","110971","test_terraform","tests.integration","2025-12-25","passed","2025-12-25","","test_terraform","",""
