"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","6062","test_snap_install","tests.integration","2026-01-04","passed","2026-01-04","","test_terraform","",""
"Deploy terraform module with app.","127646","test_terraform","tests.integration","2026-01-04","passed","2026-01-04","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1470716","test_smoke","tests.integration","2026-01-04","broken","2026-01-04","","test_bundle","",""
