"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","7127","test_terraform","tests.integration","2026-04-14","broken","2026-04-14","","test_terraform","",""
"Install necessary binaries.","6799","test_snap_install","tests.integration","2026-04-14","passed","2026-04-14","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","322720","test_smoke","tests.integration","2026-04-14","passed","2026-04-14","","test_bundle","",""
