"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","118884","test_terraform","tests.integration","2025-11-28","passed","2025-11-28","","test_terraform","",""
"Install necessary binaries.","6350","test_snap_install","tests.integration","2025-11-28","passed","2025-11-28","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1470493","test_smoke","tests.integration","2025-11-28","broken","2025-11-28","","test_bundle","",""
