"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","121060","test_terraform","tests.integration","2025-11-01","passed","2025-11-01","","test_terraform","",""
"Install necessary binaries.","18578","test_snap_install","tests.integration","2025-11-01","passed","2025-11-01","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1462593","test_smoke","tests.integration","2025-11-01","broken","2025-11-01","","test_bundle","",""
