"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","5574","test_snap_install","tests.integration","2026-05-19","passed","2026-05-19","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","297463","test_smoke","tests.integration","2026-05-19","passed","2026-05-19","","test_bundle","",""
"Deploy terraform module with app.","7755","test_terraform","tests.integration","2026-05-19","broken","2026-05-19","","test_terraform","",""
