"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","122745","test_terraform","tests.integration","2026-03-12","passed","2026-03-12","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1482638","test_smoke","tests.integration","2026-03-12","broken","2026-03-12","","test_bundle","",""
"Install necessary binaries.","8133","test_snap_install","tests.integration","2026-03-12","passed","2026-03-12","","test_terraform","",""
