"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","332554","test_smoke","tests.integration","2026-04-18","passed","2026-04-18","","test_bundle","",""
"Deploy terraform module with app.","8687","test_terraform","tests.integration","2026-04-18","broken","2026-04-18","","test_terraform","",""
"Install necessary binaries.","8037","test_snap_install","tests.integration","2026-04-18","passed","2026-04-18","","test_terraform","",""
