"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","9544","test_snap_install","tests.integration","2026-04-24","passed","2026-04-24","","test_terraform","",""
"Deploy terraform module with app.","9081","test_terraform","tests.integration","2026-04-24","broken","2026-04-24","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","310616","test_smoke","tests.integration","2026-04-24","passed","2026-04-24","","test_bundle","",""
