"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy bundle with apps and test various component integrations.","340988","test_smoke","tests.integration","2026-04-08","passed","2026-04-08","","test_bundle","",""
"Install necessary binaries.","6368","test_snap_install","tests.integration","2026-04-08","passed","2026-04-08","","test_terraform","",""
"Deploy terraform module with app.","6481","test_terraform","tests.integration","2026-04-08","broken","2026-04-08","","test_terraform","",""
