"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","10404","test_snap_install","tests.integration","2026-04-11","passed","2026-04-11","","test_terraform","",""
"Deploy terraform module with app.","8257","test_terraform","tests.integration","2026-04-11","broken","2026-04-11","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1466435","test_smoke","tests.integration","2026-04-11","broken","2026-04-11","","test_bundle","",""
