"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","104056","test_terraform","tests.integration","2025-11-26","passed","2025-11-26","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","1472045","test_smoke","tests.integration","2025-11-26","broken","2025-11-26","","test_bundle","",""
"Install necessary binaries.","6474","test_snap_install","tests.integration","2025-11-26","passed","2025-11-26","","test_terraform","",""
