"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deploy terraform module with app.","9134","test_terraform","tests.integration","2026-05-04","broken","2026-05-04","","test_terraform","",""
"Install necessary binaries.","8882","test_snap_install","tests.integration","2026-05-04","passed","2026-05-04","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","316319","test_smoke","tests.integration","2026-05-04","passed","2026-05-04","","test_bundle","",""
