"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Install necessary binaries.","7499","test_snap_install","tests.integration","2026-04-17","passed","2026-04-17","","test_terraform","",""
"Deploy terraform module with app.","6831","test_terraform","tests.integration","2026-04-17","broken","2026-04-17","","test_terraform","",""
"Deploy bundle with apps and test various component integrations.","705350","test_smoke","tests.integration","2026-04-17","passed","2026-04-17","","test_bundle","",""
